id,name,battery_power,bluetooth ,clock_speed,front_camera,four_g,int_memory,m_dep,mobile_wt,n_cores,primary_camera,px_height,px_width,ram,screen_height,screen_width ,touch_screen,wifi,warranty ,fingerprint,price
142,APPLE IPHONE 12 PRO MAX 128GB PACIFIC BLUE,3687,Bluetooth V 5.0,3.1,12,1,128,0.74,0.226,8,12,2778,1284,6,14.67,7.15,1,1,1,0,38900
143,ASUS ZenFone 7 Pro,5000,Bluetooth V 5.1,3.1,16,1,256,0.96,0.23,8,64,2400,1080,8,16.5,7.72,1,1,1,1,29400
144,ASUS ZenFone 6,5000,Bluetooth V 5.0,2.8,12,1,256,0.84,0.19,8,48,2340,1080,8,15.91,7.54,1,1,1,1,17700
145,ASUS ROG Phone 5 Ultimate,6000,Bluetooth V 5.2,2.84,24,1,512,0.99,0.239,8,64,2448,1080,18,17.3,7.7,1,1,1,1,47900
146,ASUS ROG Phone 5,6000,Bluetooth V 5.2,2.84,24,1,256,0.99,0.239,8,64,2448,1080,16,17.3,7.7,1,1,1,1,36550
147,ASUS ROG Phone 3,6000,Bluetooth V 5.2,2.84,24,1,512,0.98,0.24,8,64,2340,1080,16,17.1,7.8,1,1,1,1,18900
148,ASUS ROG Phone 3 Strix Edition,6000,Bluetooth V 5.1,2.84,24,1,256,0.98,0.24,8,64,2340,1080,8,17.1,7.8,1,1,1,1,24990
149,ASUS ROG Phone II,6000,Bluetooth V 5.0,2.96,24,1,512,0.97,0.24,8,48,2340,1080,12,17.09,7.7,1,1,1,1,29990
150,ASUS ROG Phone,4000,Bluetooth V 5.0,2.96,12,1,512,0.83,0.2,8,12,2160,1080,8,15.88,7.62,1,1,1,1,29990
151,NOKIA 1.4,4000,Bluetooth V 4.2,1.3,5,1,32,0.87,0.178,8,8,1600,720,2,16.64,7.67,1,1,1,1,2690
152,NOKIA 5.4,4000,Bluetooth V 4.2,2,5,1,64,0.87,0.181,8,48,1560,720,4,16.09,7.59,1,1,1,1,5990
153,NOKIA 3.4,4000,Bluetooth V 5.0,1.8,5,1,64,0.87,0.18,8,13,1560,720,4,16.09,7.59,1,1,1,1,4990
154,NOKIA C3,3040,Bluetooth V 4.2,1.6,5,1,32,0.86,0.184,8,8,1440,720,3,15.99,7.7,1,1,1,1,2990
155,NOKIA C1,2500,Bluetooth V 4.2,1.3,5,1,16,0.87,0.155,8,5,960,480,1,14.76,7.14,1,1,1,1,1890
156,OnePlus Nord,4115,Bluetooth V 5.1,2.4,32,1,128,0.82,0.184,8,48,2400,1080,8,15.83,7.33,1,1,1,1,17990
157,OnePlus Nord N10,4300,Bluetooth V 5.1,2,16,1,128,0.9,0.19,8,64,2400,1080,6,16.3,7.47,1,1,1,1,9990
158,OnePlus 8,4500,Bluetooth V 5.1,2.84,16,1,128,0.84,0.188,8,48,2400,1080,8,16.07,7.41,1,1,1,1,24990
159,OnePlus 8T,4500,Bluetooth V 5.1,2.84,16,1,128,0.84,0.188,8,48,2400,1080,8,16.07,7.41,1,1,1,1,24990
160,OnePlus 8 Pro,4510,Bluetooth V 5.1,2.84,16,1,128,0.85,0.199,8,48,3168,1440,8,16.53,7.43,1,1,1,1,34990
161,OnePlus 7T,3800,Bluetooth V 5.0,2.96,16,1,128,0.81,0.19,8,48,2400,1080,8,16.09,7.44,1,1,1,1,17990
162,OnePlus 7T Pro,4085,Bluetooth V 5.0,2.96,16,1,256,0.88,0.206,8,48,3120,1440,8,16.26,7.59,1,1,1,1,26990
163,OnePlus 7T Pro McLaren Edition,4085,Bluetooth V 5.0,2.96,16,1,256,0.88,0.206,8,48,3120,1440,8,16.26,7.59,1,1,1,1,29990
